choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
3,83,34,2.3047357399991597,108,34,43,32,70,34,23,58,76,72,32,26,38,51,41,41,83,45,39,52,41,61,61,54,59,72,59,43
16,164,40,0.7035614059968793,108,74,43,34,62,40,27,53,81,69,35,31,27,49,36,28,73,41,40,59,48,66,63,61,54,71,59,37
22,243,52,0.6549300880033115,108,126,36,36,58,51,23,59,72,79,34,37,20,58,43,45,75,52,27,55,41,71,58,52,52,74,66,35
22,322,44,0.26419678200181806,108,170,41,40,54,49,27,59,72,79,33,33,23,54,49,32,76,52,37,54,43,62,55,53,44,70,58,43
4,399,20,0.08848830600254587,108,190,38,36,57,53,20,55,77,75,29,34,32,51,46,35,71,48,41,56,39,70,58,41,49,70,64,42
15,481,51,0.2978525200014701,108,241,40,30,60,54,35,53,80,82,32,38,32,45,41,30,79,51,40,60,33,72,64,52,48,64,65,48
14,566,85,0.41954827700101305,108,326,37,41,57,57,34,62,77,84,27,30,33,51,52,36,85,50,43,67,43,67,66,58,43,66,77,43
14,660,94,0.07147370699749445,108,420,37,44,54,52,30,49,80,90,22,26,27,46,46,38,94,55,28,61,46,60,62,49,52,58,70,46
14,748,88,0.08627923500171164,108,508,33,29,69,56,22,52,71,84,30,27,29,46,51,32,88,51,32,74,46,66,69,54,47,56,64,36
14,834,83,0.05734491899784189,108,591,36,34,55,53,38,41,83,86,33,32,28,62,46,34,83,50,38,76,44,63,64,56,45,46,65,37
14,926,81,0.009590328998456243,108,672,46,31,58,58,34,37,77,92,33,33,27,58,38,27,81,46,40,68,47,56,66,62,49,46,61,44
14,1014,80,0.10833502700188546,108,752,42,25,51,55,27,33,80,88,26,34,29,58,35,37,80,52,43,65,47,53,69,62,40,41,63,42
14,1096,74,0.45792376099780085,108,826,41,33,51,50,21,26,79,82,34,30,29,61,34,26,74,49,38,73,58,70,74,59,47,37,63,35
9,1182,27,0.325222659001156,108,853,43,40,41,54,28,23,75,86,27,27,29,57,31,23,82,52,44,63,55,78,63,52,53,32,60,31
7,1275,93,0.3566098349983804,108,946,36,34,39,55,27,16,79,93,32,31,35,61,24,34,72,63,44,71,61,62,69,46,40,31,66,30
7,1361,86,0.11045858400029829,108,1032,43,37,53,41,25,29,76,86,18,33,28,49,23,25,80,58,44,60,47,65,63,59,52,26,67,32
7,1452,91,0.1794258539994189,108,1123,39,42,45,47,34,28,76,91,25,36,44,60,33,26,74,63,36,71,53,54,65,54,39,27,69,25
7,1542,87,0.17149961899849586,108,1210,40,31,46,43,41,26,73,87,22,31,37,55,31,32,90,57,45,69,44,73,68,54,48,32,78,40
7,1639,97,0.08278182299909531,108,1307,49,31,38,37,32,21,72,97,31,31,40,68,43,34,78,52,46,75,52,79,69,50,51,29,74,34
7,1733,94,0.06509932200060575,108,1401,47,38,35,36,45,32,80,94,32,31,37,58,44,32,75,64,49,78,53,74,71,43,48,37,73,35
7,1816,83,0.10261027299929992,108,1484,48,37,25,45,38,24,76,83,27,30,42,58,44,25,74,51,42,70,53,72,61,41,42,33,72,39
7,1905,89,0.007612842000526143,108,1573,46,34,42,41,44,20,74,89,25,52,38,64,44,33,76,63,51,69,58,82,66,28,40,32,69,36
7,1986,81,0.7017809200006013,108,1654,45,34,37,36,50,18,73,81,30,44,34,60,40,35,72,53,48,63,64,75,71,44,44,23,74,40
7,2080,94,0.10949699899720144,108,1748,46,42,33,37,46,27,83,94,25,39,44,52,40,35,74,56,53,73,62,69,74,36,43,37,76,48
7,2163,83,0.14610606400310644,108,1831,46,43,31,39,45,20,71,83,35,50,41,54,39,38,72,50,57,75,58,69,72,30,40,42,76,54
7,2251,88,0.06559942400053842,108,1919,47,31,42,36,41,20,73,88,42,46,45,44,44,34,73,53,46,72,67,68,75,31,44,44,76,54
7,2343,92,0.055788360001315596,108,2011,48,31,38,50,53,23,76,92,38,52,53,51,39,41,78,54,55,72,61,68,70,40,44,41,71,46
7,2436,93,0.2813662699991255,108,2104,49,35,29,49,41,28,71,93,52,44,55,58,43,48,76,60,57,64,66,68,71,41,47,36,75,50
7,2533,97,0.04776621199926012,108,2201,33,29,34,50,43,22,85,97,47,45,43,59,45,38,79,52,54,77,66,76,67,40,42,29,75,55
7,2623,90,0.34355536499788286,108,2291,30,33,16,40,52,48,84,90,53,46,48,58,46,49,78,58,52,67,60,78,65,37,38,37,76,43
7,2709,86,0.04845669499991345,108,2377,41,38,32,47,46,33,74,86,54,44,40,56,45,43,64,60,59,65,66,68,68,45,48,37,73,47
7,2800,91,0.17276281399972504,108,2468,35,43,28,45,43,32,75,91,58,51,53,55,45,43,51,55,49,82,64,75,70,33,40,40,82,37
7,2887,87,0.3812310869980138,108,2555,33,46,17,49,56,43,67,87,57,50,52,50,47,52,63,60,45,69,62,69,75,33,45,33,81,53
7,2977,90,0.03692441699968185,108,2645,40,43,25,44,53,31,67,90,49,46,55,59,33,56,64,54,46,69,65,76,70,42,44,47,82,47
7,3060,83,0.30125315499753924,108,2728,37,48,27,57,50,43,73,83,51,46,51,61,42,63,67,56,42,74,81,68,79,39,50,41,75,42
7,3152,92,0.18854638500124565,108,2820,29,41,34,51,45,40,68,92,42,46,47,52,38,56,63,49,46,66,68,64,77,49,54,43,81,45
7,3244,92,0.025622139997722115,108,2912,27,49,25,55,43,39,70,92,59,44,42,51,41,63,57,58,37,68,64,70,75,40,55,40,92,53
7,3336,92,0.15871254200101248,108,3004,30,40,25,53,35,34,60,92,50,44,44,56,41,58,61,48,33,71,61,69,73,30,50,43,88,49
